COIN 25 01:15:49 -5hrs,UNKNOWN VIEWS,POSITIVE VIEWS,NEGATIVE VIEWS,UNKNOWN COUNT,GOOD COUNT,BAD COUNT,PERCENT UP,START BTC PRICE,START USD PRICE (Mar-24-1009PM-2018)
OST,0,0,0,0,0,0,1.87%,2.1103049040907658e-05,0.181834
C20,0,0,0,0,0,0,-2.53%,0.0001531948080886859,1.32
BCO,0,0,0,0,0,0,-7.43%,0.00022282881176536126,1.92
ION,0,0,0,0,0,0,-1.20%,0.00028665998180231375,2.47
PPC,0,0,0,0,0,0,-3.70%,0.00023327391231686256,2.01
TEL,746,78,252,6,2,2,0.52%,2.0704510426531485e-07,0.001784
EDO,0,252,0,0,1,0,-0.94%,0.00019265407683880193,1.66
RPX,0,4,0,0,1,0,0,0.0,0
SNM,0,0,0,0,0,0,-0.58%,1.5432636064843185e-05,0.132975
DTA,0,1387,0,0,5,0,1.79%,1.2758110040294876e-06,0.010993
FTC,0,0,0,0,0,0,-5.15%,2.768775648524688e-05,0.238571
JNT,0,0,0,0,0,0,0,0.0,0
XP,0,0,1077,0,0,1,0,0.0,0
